fen,depth,cp
rnbqk2r/pp3ppp/2p5/2bn4/5p2/5N2/PPPPB1PP/RNBQ1R1K w kq -,25,-17.0
r5k1/ppp1q1p1/4p2p/3pP3/4n1B1/1P2P3/1PP3PP/R4QK1 w - -,24,-46.0
r3kb1r/1p3p1p/p1Pp1p2/q3p3/8/2N5/PPP2PPP/R2QKB1R b KQkq -,20,422.0
r1b2rk1/1p2b1pp/qn2pp2/3pP1N1/p2P4/1P2B1N1/P1Q2PPP/2R1R1K1 b - -,24,-305.0
8/2p4p/2N2n2/5k2/3K3P/1P6/P7/8 b - -,20,334.0
r4rk1/1p1nbppp/4p3/pP2P3/1PN5/5P2/5QPP/3R2K1 b - -,22,16.0
5b2/4k3/2Np4/p1pPp3/P1P1Pp2/1P3P2/6K1/8 b - -,23,948.0
8/5bpp/1P1k1p2/1B2p3/4P3/3K1P2/6PP/8 w - -,25,428.0
2kr3r/pbpnqp2/1p1pp2p/6p1/2PPP1P1/2P5/P1QNBPP1/R3K2R w KQ -,31,-29.0
q3r1k1/p2n1ppp/2pp1n2/3P4/2P3b1/2N3P1/PP1Q1P1P/R1B2RK1 b - -,27,-29.0
1R6/2p3P1/2k5/8/8/2p5/1p4K1/3r4 b - -,21,-321.0
r1b3k1/1pp2q2/2n4p/p3p3/4R2Q/2P5/P5PP/R6K b - -,16,-242.0
4r1k1/5p1p/4nBpP/8/rp2PPP1/3R4/P7/K2R4 b - -,23,144.0
r4rk1/pp3ppp/2n2q2/2bp1p2/4nB2/1NPBP3/PP3PPP/R2Q1RK1 b - -,21,15.0
1r2k2r/pb1n1p1p/4p1p1/2p1N1B1/2P5/2P5/P4PPP/R3R1K1 w k -,24,105.0
6r1/3k4/p1pp2r1/1p1Pp2p/4Pp1P/P2P1P2/2P2KP1/1R4R1 w - -,21,37.0
r4b2/5kp1/p4n2/1p1p4/2nP1B2/P1P5/1P3PPP/4RRK1 w - -,19,140.0
r1b2rk1/pp1p2pp/1q6/4pp2/1bPnP1nB/2NQ1N2/PP3PPP/R3KB1R w KQ -,22,-87.0
r3kb2/pp6/2n1pn2/3p3P/5P1P/3pq3/PPPN4/R2Q1K1R w q -,23,-513.0
4r1k1/p1R2pp1/1p1r3p/4p3/8/P2P2PP/1P1NnPK1/2R5 w - -,26,107.0
1r6/1p2pk1p/p2P1p1B/4pq2/6p1/2P5/PP2QP1P/R6K b - -,25,193.0
r2q1rk1/3b1pp1/p2b1n1p/1p1pn3/1P6/P1NBPN2/1B3PPP/R2QR1K1 w - -,25,104.0
r1bqk3/ppp1br2/2n3QB/3p4/2B5/2p5/P1P2PPP/R3R1K1 b q -,19,552.0
r2qr3/pp2k1pQ/1np1P2b/8/3P3P/1B6/PPP5/1K1R3R b - -,22,145.0
3Q4/1p3kn1/8/P2P1P1p/1q6/8/4NK2/8 b - -,23,0.0
r2q1rk1/pb3pbp/4p1p1/1p1pN3/2pP1P2/1Pn4R/P1BN1PPP/R2Q2K1 w - -,25,245.0
r4rk1/p4pp1/3qbn1p/2pp4/8/P1PB4/1P2NPPP/R2Q1RK1 w - -,22,-6.0
r3kb1r/ppqbnppp/2npp3/1B6/Q3P3/2N2N2/PPP2PPP/R1B2RK1 w kq -,18,18.0
r4k2/ppp3p1/5p2/2Q5/3P1bP1/2P4P/PPKNr3/8 b - -,21,0.0
8/3kp3/3n1p2/pp1P2p1/8/1PK2P1P/P1P5/3R4 b - -,27,482.0
2r1k2r/4ppbp/p1pp1np1/q2P4/4P3/2N1BQ1P/PP3PP1/R2R2K1 b k -,22,-1.0
r1bqkb1r/p4ppp/2p1p3/2PpPn2/1P6/4BN2/P1P2PPP/RN1Q1RK1 b kq -,22,79.0
3r4/p4p2/5kp1/3Pp3/2r5/6P1/P4PP1/2R1K3 w - -,21,-4.0
r2r2k1/pppnbppp/q3pn2/8/2NP4/1P2B1P1/P3PPBP/R2Q1RK1 b - -,14,9.0
rnbq1rk1/p1pp1ppp/1p2pn2/8/1bPP1B2/2N2P2/PP2P1PP/2RQKBNR b K -,22,-78.0
8/p3K3/P7/1kb5/8/8/8/R7 w - -,34,20000.0
1r2qrk1/p1Q2pbp/6p1/3B4/6b1/2NP4/PPP1NPPP/R3K2R b KQ -,27,-528.0
8/pp3rpk/3p3p/4p3/4P3/3P3P/PP4PK/1RB1r3 w - -,27,-653.0
rn1qkb1r/pp4pp/2p1ppn1/3pP3/3Pb1P1/7P/PPPNBP2/RNBQ1RK1 b kq -,27,38.0
r3r1k1/pp1b1pp1/3q1n1p/2pp4/3P4/3BPP2/PP2NQPP/4RR1K b - -,24,-24.0
8/1p3pk1/p3p1n1/3p2N1/2r5/2P4r/PP3P1P/R5K1 w - -,19,-185.0
rn1q1rk1/3pbpp1/4p2p/1NpnP3/2Q3b1/PP1P1NP1/1B3PBP/3RR1K1 b - -,20,81.0
r2r2k1/p4pbp/4p1p1/2B5/2R3N1/2Pn4/P5PP/R5K1 b - -,20,-517.0
8/1k6/1p6/2p3b1/R1P5/1P6/P1Kp4/8 w - -,57,118.0
8/7p/pn1k2p1/1p1p1BP1/1P3P2/4KN2/P5P1/8 b - -,17,390.0
r4rk1/1p1q1p1p/p3p1p1/3pP1N1/8/2NQ4/PP4PP/R5K1 w - -,27,165.0
r2q1rk1/4bpp1/5np1/p2p4/1pNP1B2/5B1P/PPQ2PP1/R4RK1 b - -,18,48.0
Q1b2rk1/2ppqppp/p7/npb5/4P3/1BN5/PPP2PPP/R1B2RK1 b - -,21,-190.0
8/5k2/1R6/1pB3P1/8/1r4P1/6K1/8 b - -,20,1397.0
q1r2rk1/1p1b1pbp/5np1/2pPp3/4P1P1/P2BB2P/N2Q1P2/R4RK1 w - -,21,97.0
4Rn2/1p3Pk1/2r3p1/2N5/2P2bP1/7P/1P4K1/8 w - -,21,-228.0
r5r1/p4pk1/4q3/3bn1B1/7R/2Q3P1/PPP4P/6K1 b - -,23,-826.0
8/8/1pn2n2/2k3p1/p1P3P1/P1P2K1P/4B3/8 w - -,30,-475.0
rn1q2k1/p1p1r1p1/1p3p1p/3p4/3P4/P1RQPN2/1P3PPP/2R3K1 w - -,25,337.0
8/8/6pP/1p4K1/pk4P1/8/8/8 b - -,21,3597.0
4K3/7p/6p1/8/5P2/2k5/7P/8 w - -,30,0.0
1kr5/1r3p2/p3b1p1/PpqpP2p/3N1P2/1RP1Q2P/3R2PK/8 b - -,25,28.0
r1bqkb1r/1pp1nppp/2n5/p7/3pPB2/3P1N2/PPP1B1PP/RN1Q1RK1 w kq -,21,37.0
r1q1k2r/2p1ppb1/pn1p2p1/1p1nP2p/3P3P/2NBBP1R/PPPQ2P1/2KR4 w kq -,27,64.0
5r1k/7p/3b3q/1Q1Pp3/p4r2/P1P5/NP6/1K1R2R1 w - -,28,284.0
r2r2k1/4bppp/p7/8/7P/2B3P1/P4P2/R2R2K1 w - -,20,6.0
2r5/8/5p1n/p4bkp/7P/8/PPP1NPP1/3RK2R b K -,20,574.0
rn1qkb1r/pp3ppp/2p1p3/3n1b2/P1pP4/2N3B1/1P1NPPPP/R2QKB1R b KQkq -,19,1.0
rqr3k1/1p1nbppp/1B2b3/1N1pp1P1/p3P3/5P2/PPPQN2P/1K1R3R w - -,30,-159.0
rn2k1r1/1b3p1p/4pp2/p1P5/1pP5/P1b2N2/4BPPP/1RBR2K1 w q -,23,-125.0
5r2/1Pk5/4P3/p5p1/6p1/6P1/7P/1R4K1 b - -,23,414.0
r1bqk2r/pp2bppp/2N1p3/8/8/2n3P1/PP2PPBP/R1BQ1RK1 b kq -,22,-349.0
r1bq1rk1/pppnppb1/3p1npp/8/3PP3/2N1BN1P/PPPQ1PP1/R3KB1R b KQ -,24,96.0
6k1/2q2pp1/2r1pn1p/p2p4/1b1P4/4P3/P3QPPP/R2Q1RK1 w - -,15,559.0
1r3k2/5Pb1/2Bp1n2/p1p2bN1/P6r/2P5/1P1B3P/R3R1K1 b - -,27,118.0
6k1/5p1p/R5p1/1p6/8/1r6/5KPP/8 b - -,24,-370.0
8/8/8/4k2p/4Np1P/7K/1p1r4/1R6 b - -,30,-1.0
r1b2rk1/1ppn1ppp/4p3/p1q1P3/1nP5/P4NP1/1P1NQPBP/R3R1K1 b - -,22,136.0
4r1k1/1p3p1p/6pQ/5N2/p7/P6P/1P3PPK/8 b - -,20,727.0
r3kbnr/ppp1pppp/8/8/3nb3/3B4/PPP1NPPP/R1B1K2R w KQkq -,22,-69.0
r2r3k/pb2p1bp/2p1B1p1/6N1/2P5/4B3/Pn4PP/R4RK1 b - -,26,365.0
r1b2rk1/ppp2ppp/2np3q/3Bp3/P3P3/3PPN2/1PP3PP/R2Q1RK1 w - -,22,12.0
r3r1k1/8/7p/6p1/2PQPn2/1PBP1P1P/6PK/5R2 b - -,21,4222.0
r2q1k1r/5pp1/p3b2p/1ppp1p2/8/2PQP1P1/PP1N2P1/2KR3R w - -,22,-478.0
8/7p/8/8/2N2k2/8/2K4n/8 w - -,50,0.0
r5k1/6pp/p7/3Rp1P1/4Pp1P/P7/2P5/2K5 b - -,32,0.0
8/RbP5/7k/4K3/pr6/8/8/8 w - -,30,3582.0
r1bqkb1r/ppp2ppp/2n1p3/4p2P/2PP4/2N1BQ2/PP3PP1/R3KB1R w KQkq -,16,128.0
8/3B2k1/1p5p/p3p2K/2P1n2P/1P6/P7/8 w - -,28,-556.0
2kr4/p1p2pp1/8/3P4/8/1PN1K1PP/8/8 b - -,23,-456.0
r1bq2k1/pp2rp1p/3p2p1/3P4/2B2P2/8/PPPQ2PP/R4RK1 b - -,21,-9.0
7q/1p1nkp2/r1bNp3/2P5/p2B2p1/2N5/PP3PPP/R2R2K1 w - -,23,802.0
r1bq1rk1/pppnppbp/3p1np1/8/4PP2/3P1N1P/PPP1B1P1/RNBQ1RK1 b - -,22,4.0
r1bq1rk1/pp2Bpp1/4p2p/3n4/3N4/1B2P3/PPQ2PPP/R4RK1 b - -,18,50.0
8/8/8/7K/8/k7/1p6/4R3 b - -,36,0.0
r1b1k2r/ppp1qppp/2np4/4P3/2B1n3/5N2/PPP2PPP/RN1QK2R w KQkq -,27,-60.0
6k1/ppp3pp/2n1p1q1/4bn2/8/B4Q2/P4P1K/4RR2 w - -,29,-503.0
8/5p2/5kp1/3p4/3P2K1/7P/5P2/8 b - -,24,699.0
8/8/8/8/3k4/KQ1b4/8/8 b - -,20,9605.0
r4rk1/pp2b2p/2p1b3/2n1p1p1/Pq2N3/2NQ2P1/1P2PPBP/3R1RK1 w - -,20,88.0
1r4k1/5pbp/pP4p1/Bp2p3/3n4/N4P2/1PP3PP/3R3K w - -,30,11.0
7r/5k2/p2p2p1/1p1Pppbp/2r5/P1N2PPP/1PP1R3/1K1R4 b - -,22,-165.0
rnbq1rk1/1pp2ppp/4pn2/p2p4/2PP4/P1Q1PN2/1P3PPP/R1B1KB1R b KQ -,28,3.0
r1b2rk1/5pbp/p2p4/1p2p3/4P2q/N2Q4/PPP1B1PP/3RK2R w K -,20,-75.0
2rr4/4Rpkp/p2p1np1/q2P2Q1/1pP5/1P3P1P/4B1P1/3R3K b - -,23,-171.0
r2r2k1/1pq1bppp/3pbn2/1B2p3/p3P1P1/1NN2P2/PPP1Q2P/1K1R3R w - -,29,61.0
r1bqkbnr/ppp2ppp/2n5/3pp3/P7/1P2P1P1/1BPP1P1P/RN1QKBNR b KQkq -,20,-85.0
3r1rk1/pp3pp1/1np3p1/3nP3/8/2P2PN1/PP3BPP/R4R1K w - -,23,129.0
2r1r1k1/ppqn1pp1/2pb2p1/3n4/2NP4/4BN1P/PPQ2PP1/2R1R1K1 w - -,21,-14.0
r3r1k1/pp1b1p1p/1q1p2p1/2pP2B1/3bPP2/2N1Q1P1/PP4BP/1R3RK1 w - -,22,-207.0
5B2/8/4B3/7K/3b4/2k5/8/6r1 w - -,21,-21.0
6k1/1p3r1q/p1b1Q1p1/3pP3/P2P4/1P3R2/5PP1/6K1 w - -,23,90.0
6k1/5p2/4p2p/3pP1p1/3P2P1/1rP5/1p2KP1P/1R6 w - -,32,0.0
8/5p2/4p3/p3P2p/P4k2/1P6/5K1P/8 w - -,22,-666.0
r1bq1rk1/3n2pp/1b2pp2/p1pn4/3P3P/P2Q1P2/NPPBN1P1/2KR1B1R b - -,21,-4.0
3r1rk1/1bq2pbp/p3p1p1/1pp5/3nP1Q1/P3N2P/BPP2PP1/R1B1R1K1 b - -,22,-153.0
2r1r3/4bpk1/pB4pp/1p1NPbP1/7P/1P4K1/P1PR4/3R4 w - -,24,78.0
r1bq1rk1/p4ppp/2p5/2b5/2B5/2N3nP/PPPP1PP1/R1BQR1K1 b - -,20,186.0
8/4Bqkp/6p1/R7/6PP/5PK1/8/8 b - -,21,-307.0
r2Bk2r/3p1ppp/p1b1p3/1p2P3/8/2nB4/PPP1QPPP/R4RK1 b kq -,21,0.0
8/K7/1P6/1k6/3b4/6B1/8/8 b - -,40,0.0
2rqk2r/4bp2/p2p1p1p/n3p3/4P1Q1/2P3N1/P1N2PPP/R3K2R w KQk -,21,384.0
2kr4/1ppq2p1/p1n1p3/4p1N1/4P1B1/2P5/PP3bK1/R1B3R1 w - -,21,356.0
r2qk2r/pp2bpp1/2n1pn2/3p3p/3P3P/2N1PBP1/PP3P2/R1BQ1RK1 b kq -,29,9.0
8/8/8/1k5p/3K3P/1p6/1p1N4/8 b - -,42,0.0
7R/pp2r3/2p5/3pkp1P/4p3/P3P3/1PPK1P2/8 b - -,25,0.0
8/8/6k1/5pp1/7p/5P1P/8/5K2 w - -,46,-11.0
6R1/p3R1b1/1p4kp/1Pp3p1/6n1/8/PP3PPP/6K1 b - -,19,929.0
2r3k1/1R5R/2p1pp2/p6p/P4P2/2P5/6PP/6K1 w - -,20,712.0
r3k2r/pp2bpp1/1q2p2p/n2p1b2/1P1P3P/P1P3B1/3Q1PP1/R1N1KB1R b KQkq -,19,-62.0
r2qr1k1/2pbbppp/p1n2n2/1p2p3/5P1B/1NN2B2/PPP3PP/R2Q1RK1 w - -,22,58.0
r1b1k1nr/1pp1q1pp/p2b4/2p1N3/3Q1B2/2N5/PPP2PPP/R3K2R w KQkq -,26,35.0
rn1qkb1r/pppn1ppp/4p3/6P1/3Pp3/4PN1P/PPP2P2/R1BQKB1R w KQkq -,26,53.0
8/7k/1p4p1/7n/P6Q/4qp1P/6P1/7K w - -,20,-832.0
r1br1bk1/ppq2pp1/2pp1n1p/n3p3/3PP3/1BN1BN1P/PPP1QPP1/2R2RK1 w - -,25,-10.0
r5rk/1b5p/pq2P2Q/1ppnRp2/8/6NP/PP3PP1/5RK1 w - -,23,0.0
4Rrk1/3Q1p2/6p1/7p/5P2/3PK1PP/1q6/8 b - -,32,0.0
1r1q1rk1/1pp1bpp1/p1n1b2p/3pP3/5B2/P1PB1N2/1PQ2PPP/3R1RK1 b - -,19,101.0
r1b1k2r/pp4pp/2p2q1n/3p4/3Pp3/2PB4/PP3PPP/RN1Q1RK1 w kq -,20,-89.0
r1bqr1k1/pp1n1ppp/2pb1n2/4p3/3Pp3/2P2N2/PP1NBPPP/R1BQR1K1 w - -,28,-109.0
8/8/1K6/P6r/8/8/3R4/1k6 b - -,28,652.0
8/1r6/1k6/pp1P4/1P2P3/6PK/2R2P2/8 w - -,24,704.0
rn1q1rk1/3p1pp1/b6p/2pn4/8/2PB4/P1Q1NPPP/R1B2RK1 b - -,21,0.0
2r4k/p1pp1p1p/1pn1p1p1/4P3/2PPB3/8/5PPP/R4RK1 w - -,21,511.0
rnb1kbnr/pp2q1pp/2p2p2/4N3/3PP3/8/PPP3PP/RNBQKB1R w KQkq -,20,193.0
1rbqk2r/1p2bppp/2n1p3/p2pPn2/N2P4/P3BN2/1P2BPPP/2RQ1RK1 b k -,22,49.0
3r2k1/2R2pp1/7p/pb1PB3/4n3/1B5P/P4PP1/6K1 w - -,25,343.0
r3k2r/1pq1ppb1/p1bp1np1/4n1Bp/3NP2P/2NB1P2/PPPQ2P1/1K1R3R w kq -,23,95.0
3B1rk1/5ppp/3p4/1p2p3/1P6/5b1P/2P2PP1/3R2K1 w - -,34,-2.0
5r2/r5k1/2R2pPp/p3pB1P/1p3b2/1P6/PP6/1K2R3 w - -,27,132.0
1r1r2k1/pp3pbp/6p1/3pP3/2n2P2/P5PP/Q5B1/1nB3K1 w - -,29,-20.0
5rk1/Qpq3bp/1pp3p1/P2p1pn1/3Pn3/4P2P/1P2BPP1/R3BRK1 b - -,22,175.0
1R6/4n3/p3k3/3pPp2/P1r2P2/8/5K2/8 w - -,33,-569.0
8/3b4/3B4/K1P5/4kP2/8/8/8 b - -,20,803.0
r1bqkb1r/1p3p2/p2pp2p/6p1/4P3/1NN3Q1/PPP2PPP/2KR3R b kq -,23,57.0
r3r1k1/1b1n2pp/1p2pn2/1Qpp1pq1/2PP4/2PBPP2/5BPP/R3RNK1 b - -,26,66.0
r1b1qr1k/ppp1nppB/3b3p/3p2NQ/3P1P2/8/PPPB2PP/4RRK1 b - -,23,45.0
r1b1kb1r/p3pp1p/5np1/1B2p3/8/8/PPP2PPP/R1BK3R b kq -,22,-387.0
1r4k1/5p1p/p5p1/1r1pbq2/3Pp3/1P2P1P1/Q4PP1/R1R3K1 w - -,17,-36.0
r1bqkbnr/pppp3p/2n2p2/4p1p1/4P2N/3B4/PPPP1PPP/RNBQK2R w KQkq -,26,539.0
6k1/1b1r2pp/ppn1pq2/2pB4/2N2P2/P5P1/1PP1QB1P/5R1K b - -,23,-105.0
3r1rk1/pp2bppp/1q6/3Pp3/3nQ3/1NB3P1/PP3P1P/R4RK1 b - -,23,-6.0
r3k2r/pp1q2pp/2nb1p2/3pN2n/8/3P4/PPP2PPP/RNBQR1K1 b - -,21,91.0
rnbqk2r/pp1pbpp1/2p2n1p/4p3/4P2B/2NP4/PPP1NPPP/R2QKB1R b KQkq -,21,-63.0
r3kbnr/pp1n1ppp/2p1p3/q7/5Bb1/2NP1N2/PPP1BPPP/R2QK2R w KQkq -,20,36.0
8/8/8/2R5/2b1pK2/1kp4P/5PP1/8 w - -,24,1151.0
r3b3/1p2k2R/p7/3pB1p1/3K4/8/PP3PPP/8 b - -,22,316.0
r5k1/1pp2p2/1r2bn1p/p2B2p1/P7/q1P2QBP/2PK1PP1/3RR3 w - -,19,-30.0
r2qr1k1/5pbp/p2p1np1/nbpP4/1p6/1P2P1P1/PB1NNPBP/1R1QR1K1 w - -,21,32.0
2k1r2r/ppqnp2p/2p2np1/6N1/2BP4/5P2/PPPQ4/2KR3R w - -,25,174.0
Q3kbnr/p2q1ppp/np6/4p3/2P5/2N3P1/PP1PPP1P/R1B1K2R b KQk -,21,503.0
8/8/1R6/4r3/8/4pk2/8/5K2 w - -,24,0.0
r5k1/pp6/5Bp1/4p3/3n2bp/8/PP3PP1/2R2RK1 b - -,45,0.0
2rq1rk1/1b2bppp/p2pp1n1/8/2BNPn2/1P4Q1/PB1N1PPP/R3R1K1 w - -,28,-38.0
8/3r1k1p/2p2pp1/P1b1p3/8/2B1PP2/4K1PP/1R6 b - -,24,78.0
3r4/1k6/8/ppB5/8/P1R3P1/6K1/8 b - -,20,475.0
2b4r/5pk1/4p1p1/2q5/1p5p/2p2NK1/6PP/4QR2 w - -,19,-1238.0
r1bk1r2/pp1pRp2/2n3p1/3N4/2P2p2/P7/1P3PPP/2K2B1R w - -,20,53.0
8/p3Qpk1/1p1P1qp1/7p/P6P/5PK1/5P2/8 b - -,25,44.0
r1bqkb1r/pppp1ppp/2n5/4p3/4n2N/6P1/PPPP1P1P/RNBQKB1R w KQkq -,24,-160.0
r1bq1rk1/3nbppp/P2ppn2/8/1P1NPP2/P2BB3/4Q1PP/R1R3K1 b - -,20,97.0
r1b1k1nr/ppqnppbp/2pp2p1/4P3/2PP4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,32,96.0
8/3R4/6K1/1rk1B3/5p2/5P2/8/8 b - -,20,555.0
r4rk1/1bB1qppp/pn2pn2/1p1p4/3P4/3BP3/PPP2PPP/R2Q1RK1 w - -,22,160.0
r3k1nr/pppq1ppp/2nbp3/3p1b2/3P1B2/2PBPN2/PP3PPP/RN1QK2R w KQkq -,21,27.0
r1bqk2r/ppppbp2/6p1/nB2P2p/4N3/5N2/PPPB1PPP/R2Q1RK1 w kq -,24,767.0
4r3/1p1nprk1/3p1pp1/2qP4/2PQ4/1P4R1/5PP1/3R1BK1 w - -,28,450.0
r1bq1rk1/p2p1pbp/1pnPpnp1/8/2B5/2N1PN2/PP3PPP/R1BQ1RK1 b Qq -,20,-42.0
r1bq1knr/ppp1n1b1/3p3p/1B1P1ppQ/2N1p3/2P1P1BP/PP3PP1/RN2K2R b KQ -,23,-361.0
r2q4/1bpkb3/p1n1p1Q1/1p1pP3/3P4/2P5/PP1N2PP/R3K1NR w KQ -,20,424.0
b7/3k1pp1/r6p/P2p4/1K1Pp3/4P1P1/5P1P/R2B4 w - -,25,363.0
rnbq1rk1/4bppp/p4n2/2ppN3/5P2/1B6/PP1P2PP/RNBQ1RK1 w - -,23,-44.0
8/p2k4/3p4/4p1p1/P1KpP2p/7P/8/8 w - -,29,-4430.0
r1bqk1nr/ppppbp1p/2n5/6p1/3PPp1P/5N2/PPP3P1/RNBQKB1R w KQkq -,26,240.0
r1bqk2r/ppppnppp/5n2/4p3/2P1P3/3P3P/PP1N1PP1/R2QKBNR w KQkq -,18,-2.0
8/3k1p1p/6p1/p2K2P1/5P2/8/P6P/8 b - -,22,500.0
1r1r2k1/pbq1np1p/1p2p1p1/8/1QN1B3/8/PPP2PPP/3RR1K1 w - -,31,0.0
r4rk1/2q1bppp/pn1p4/Np4P1/4Pp2/5P2/PPPQ3P/2KR1B1R w - -,20,-4.0
8/4kp2/1R2n1pp/3p4/P7/7P/1P3PP1/6K1 b - -,21,591.0
8/1Q3pk1/3K2p1/5r1p/8/7P/8/8 b - -,26,16.0
3r2k1/pp3p1p/6p1/4b3/3nPP2/4B3/PP4PP/2R2BK1 b - -,20,279.0
5r2/1kpNn2p/2q5/4n3/Pp2p1pP/8/1PP1Q1P1/2R2RK1 b - -,20,-153.0
r4rk1/pp1q1pbp/4pnp1/3pBP2/3P4/1QPB3P/PP4P1/R4RK1 b - -,21,-140.0
r4b1r/ppknn1pp/2p1bp2/4p3/2P1P2N/2N5/PP1BBPPP/R3K2R w KQ -,24,-62.0
4r3/6kp/p1qp1p2/1p3n2/8/3N3P/PPPQ4/1K4R1 b - -,30,119.0
r3r1k1/5ppp/nQp3q1/p7/Pp3n2/1B2N2P/1PP2PP1/R4RK1 w - -,23,-27.0
r1b1nr2/ppb1q1k1/2n1p2p/3pPpNQ/2pP4/2P5/PPB2PPP/R1B1RNK1 w - -,21,558.0
5rk1/np3p2/2r1p3/1p4Np/2pR4/Pn2P2P/1PB2PP1/2R3K1 w - -,27,71.0
5k2/6p1/2B2p1p/P7/1pb2P2/2r4P/6PK/3R4 b - -,25,-6.0
rrR3k1/4Q1pp/4p3/3pNp2/1q1n1P1P/8/5PP1/4R1K1 b - -,20,663.0
r2q1r1k/p3bppp/4pn2/3p2B1/8/2N3QP/PPP2PP1/R4RK1 w - -,25,-60.0
6k1/1b3ppp/4pn2/4N3/p1r5/4P2P/1B1P1PP1/R5K1 b - -,30,22.0
8/8/4B3/k7/p7/1p6/4K3/8 b - -,44,0.0
5rk1/p3r2p/b1pBpb2/2Pp2pB/5P2/P5P1/1P1K2P1/R3R3 b - -,30,214.0
2b3k1/7p/8/3B4/8/3p4/5PPP/6K1 b - -,22,437.0
rn1qk2r/pp2bppp/2p1pn2/6N1/3P4/3b1N2/PPP2PPP/R1BQ1RK1 w kq -,22,0.0
8/PR6/3kp1p1/8/3KN3/8/1P3r2/r7 b - -,29,-12.0
8/2bk4/8/5N1p/4K1p1/8/8/8 w - -,21,-32.0
4k3/6pp/p4p2/1p1p4/8/5P2/PPPK2PP/8 b - -,26,9.0
r1b1kb1r/pp1q1ppp/3ppn2/2pP4/2P5/2N2N2/PP3PPP/R1BQR1K1 w kq -,22,68.0
4kb1r/r1Qn2pp/p4p2/8/4b3/2P1BN2/PPK2PPP/3R3R w k -,22,-136.0
8/8/8/2B5/2p5/1kb5/4K3/8 w - -,31,-9605.0
r2q1rk1/1b1pnpbp/ppn1p1p1/2p4P/2P1P3/2NPB1P1/PP1QNPB1/R3K2R b KQ -,21,63.0
8/R5k1/1p6/1P6/8/1r6/4K3/8 b - -,36,0.0
r2r1b2/pp2qp1k/6pp/2ppPn2/8/4PN1P/PP2NPP1/2QR1RK1 w - -,23,100.0
2r5/4p1kp/5pp1/r7/P7/R1P2P2/5P1P/5RK1 w - -,23,17.0
3q1rk1/1p2bppp/p1rppn2/8/2P1P3/1PNQB3/P4PPP/3R1RK1 b - -,21,20.0
5k2/8/7R/6P1/p6P/2n4r/6K1/8 b - -,27,0.0
8/8/8/3n1P2/5N2/p2k4/P7/3K4 b - -,38,0.0
2kr3r/pp1nBppp/2p3n1/4P3/4P3/5P1P/PPPN4/R2K1B1R b - -,30,11.0
r1b2b1r/pp1kpp1p/2np1np1/1N6/3NP3/R1P1BP2/3Q1KPP/1q3B1R w - -,14,259.0
rnbqk2r/ppp2pbp/3p2P1/5p2/3P4/5N2/PPP1PPP1/RN1QKB1R b KQkq -,24,-12.0
2r5/p3k1pp/1p3p2/4P3/PP2N3/2B5/2p3PP/4RK2 b - -,18,495.0
8/8/8/5QP1/1kq5/4K3/8/8 b - -,20,33.0
r3k2r/1p3p2/2p4p/5bp1/3P4/1P2qNP1/P3P1BP/Q4K1R b kq -,19,-508.0
rnbqkbnr/ppp3pp/8/3pp3/4p1P1/P6N/1PPPPP1P/R1BQKB1R b KQkq -,22,-532.0
3rr1k1/1pp2pbp/p7/5pN1/5B2/P7/1pP2PPP/1R3RK1 w - -,25,0.0
8/3k4/p7/P7/1p1ppR1P/1Br3P1/P1PK4/8 b - -,29,698.0
2R3k1/5p2/p5p1/6P1/8/8/1r3P2/5K2 b - -,46,-6.0
rn1qk2r/pp2bppp/2p1p3/3p1b2/3Pn3/2N2NP1/PPP1PPBP/R1BQR1K1 w kq -,20,0.0
8/1p3kpp/p4p2/4p2P/2b3P1/r1B1RP2/5K2/8 w - -,20,-463.0
r2q1r2/2p3k1/1pQ3p1/3p2P1/3P4/pP2P3/Pb1N1P2/1K1RN2R b - -,30,571.0
N2k3r/pp3ppp/8/3npb2/5pq1/P2P1N2/1PP3PP/R2QKB1R w - -,34,514.0
8/8/R4p2/2kr1P2/8/8/4K3/8 w - -,44,0.0
6k1/8/2P2R1P/8/3K4/1P2p3/P3rp2/8 b - -,48,601.0
rnbqk1nr/pp3ppp/4p3/3p4/4P3/5N2/PPPb1PPP/RN1QKB1R w KQkq -,20,25.0
r3r1k1/ppQ2pp1/5n1p/3p4/1q1Pp3/1NR1P3/PP3PPP/5RK1 b - -,21,20.0
rnbq1rk1/pp2bppp/2p2n2/8/2QPpN2/2N1P3/PP1B1PPP/R3KB1R b KQ -,20,-78.0
3r2k1/ppp2rQp/3p2p1/8/2P5/8/P4P2/1K1RR3 b - -,22,-545.0
8/6k1/p1r4p/1pnR4/4PP2/P1N5/1PP4P/2K5 w - -,20,533.0
1r2r1k1/Q4pp1/5q1p/1pB5/2b1B3/7P/Pb3PP1/3RR1K1 w - -,37,0.0
3r4/k7/p1N5/rpN3p1/2b1P2p/5P1P/6PK/2R5 b - -,22,373.0
8/7p/p5p1/4k3/2p3PP/8/P1P5/6K1 w - -,20,-518.0
r1r3k1/ppp1qpbp/4bnpB/4p2P/2n1P1P1/2NB1P2/PPPQ4/2KR2NR w - -,21,105.0
r1q2rk1/1b2ppbp/1n1p2p1/2pP3n/7N/1PN3P1/PB2PPBP/1R1Q1RK1 w - -,23,113.0
