fen,depth,cp
1R6/5p1p/1P2k1p1/3pp3/8/1r4P1/5PKP/8 b - -,23,-323.0
1rb2rk1/pp3ppp/1qn2p2/3N4/3P4/3QP3/5PPP/R4RK1 b - -,22,-444.0
8/8/2k4p/2P1p1p1/1K2P1P1/2B4P/8/6n1 w - -,27,363.0
8/2Q5/1p3kp1/p1p4p/P1P2p1P/1P4PK/5q2/8 w - -,43,0.0
5b2/3r3p/p2P1k2/1pK3p1/1P3p2/P3RP1P/6PB/8 w - -,29,282.0
2b3k1/2r3p1/2pRp2p/1pN1P1PK/pP5P/P1P5/8/8 b - -,20,689.0
r4r1k/2qn2p1/1p1p3p/pP1P2p1/P2QN3/1BP1R1Pb/5P1P/R5K1 b - -,20,69.0
r5k1/p1p4p/2p1Rp2/3p4/8/2P3P1/PP4PP/6K1 b - -,22,118.0
r1b2rk1/pppnqppp/2n5/4p3/3pP3/P2P1NNP/1PP2PP1/R2QKB1R b KQ -,22,-64.0
rn1qk2r/ppp1ppbp/4b1p1/3n4/3P4/1BP2Q2/PP3PPP/RNB1K1NR b KQkq -,23,-22.0
2K5/p1P5/3b1k2/6p1/P5Pp/8/2R4P/8 b - -,20,794.0
q2r4/1p2bpk1/1np1bpp1/7p/3PP2P/1P1Q1N2/2B1NPP1/5RK1 w - -,24,-21.0
4r1k1/p1p3pp/b2b4/2pp1P2/6PP/4B3/PPP2P2/RN1K4 b - -,26,-440.0
1r4k1/6pp/1p2r3/2p5/p7/P1N2P2/1PP3Pn/1K1RR3 b - -,25,249.0
r3k2r/pppq1ppp/2nbb3/3p1n2/3P4/P1P1BN1P/1P2BPP1/R2QKN1R b KQkq -,27,-28.0
r1bqkb1r/pp1npppp/2p2n2/6N1/4pQ2/8/PPPP1PPP/RNB1KB1R w KQkq -,23,-41.0
8/p3kpp1/7p/1pr4P/4P1K1/5P2/P2R2P1/8 w - -,20,-30.0
r5k1/p4rbp/5pp1/1q1Np3/1Pn1P1b1/4PNP1/6BP/2RQ1RK1 w - -,21,209.0
2b1r3/6k1/p1p3p1/Pp1p4/3P1P2/3qB3/1P3P2/4QKR1 w - -,24,-373.0
2r3k1/pp3pbp/3rp1p1/1P1q2P1/3PR2P/2p2NK1/2P1QP2/4R3 w - -,21,-60.0
2r1rk2/1b4bQ/4pq2/3p4/2nP1B2/1PpB2P1/4RP2/4R1K1 b - -,18,383.0
r1b1r1k1/pR3pp1/3p1n1p/2p5/2n1pN2/P1P1P1P1/3P1P1P/2BR2KB w - -,24,-340.0
1r4k1/4B2p/3p2p1/2nPp3/1p1b3P/3P2P1/1P3qBK/R2Q4 b - -,23,-8.0
r3nr1k/ppp1b1p1/2qp2Pp/4p2P/P1P5/1QP2b2/1P1N1P2/R1B1K1R1 w Q -,23,-551.0
r1bqk2r/1ppn1ppp/p2b1n2/4p3/2B1P3/2NP1N2/PPP3PP/R1BQK2R w KQkq -,23,51.0
r2qkbnr/pp2p1pp/5p2/3p1b2/3P1B2/2NP1N2/PP3PPP/R2QK2R w KQkq -,26,39.0
r1b1r1k1/p5pp/2n2p2/3q4/3p4/N2P2R1/PP3PPP/R1BQ2K1 w - -,23,11.0
r7/b1p5/p2p1qk1/8/Q2PPpb1/5N2/PP1N1P2/2K4R b - -,21,693.0
n1rbbkqr/pppppppp/2n5/8/4P1B1/8/PPPP1PPP/NNR1BKQR b KQkq -,20,-72.0
r1b2rk1/pp4bp/1qn2pp1/3pp3/3P1Q2/1PPB1N2/P2N1PPP/R4RK1 w - -,22,-203.0
r4rk1/1p1q1ppp/4bn2/p1bpp3/P1P5/1P2P1P1/2QBNPBP/R2R2K1 b - -,25,-20.0
r2qk2r/pp3ppp/2nppn2/3p1b2/3P1B2/1QP1P3/PP3PPP/R3KBNR b KQkq -,23,-2.0
1qrbr1k1/1b3pp1/pp6/2PpnN1n/NP5p/P4P1P/3Q2PB/2RR1BK1 b - -,20,136.0
6k1/1pq2pp1/2p2n1p/2Pp4/1P1P4/2B2P1P/6P1/4Q1K1 b - -,27,-14.0
7k/1pq2pp1/4b2p/pP1pPp2/P1rP1P2/1Q4P1/4N2P/5RK1 w - -,28,12.0
r4rk1/pp3ppp/1b1p4/3P1q2/1P3N2/P1B2bP1/3Q1P1P/R3R1K1 w - -,20,102.0
6k1/8/1p1p2p1/2p5/p1b2NP1/2K2P2/7P/8 b - -,16,-703.0
r2R2k1/pp2ppbp/2n3p1/8/7N/P1n1B1P1/RP3P1P/5K2 b - -,25,-339.0
8/7p/8/2R2pk1/7P/1r6/6K1/8 b - -,32,-23.0
8/pp6/2p2p2/2P4p/7P/1P2kPK1/P7/8 b - -,22,-631.0
r6k/1pp2nr1/p2p4/3Pp2q/2P1P3/4BPpb/PP1Q2N1/R2B1RK1 w - -,25,-191.0
5r1k/1R4pB/p3p2p/1p1pq3/8/6PP/PPQ4K/8 w - -,26,384.0
r4rk1/pbq2ppp/2pbpn2/2p1N3/3PB3/6B1/PP2QPPP/R4RK1 w - -,21,66.0
1r2r1k1/4bp2/3p1p1p/1pn2P1N/p3P1P1/1P2R3/2P2P2/R4BK1 w - -,27,96.0
8/p4kp1/4r2p/1P6/1KP5/5p2/7P/3R4 w - -,25,-13.0
2r2rk1/p5p1/1p2q3/2p1B2p/3P1P1b/PP1P2p1/6K1/2RQ1R2 b - -,29,-212.0
3R4/8/8/8/1r4P1/1pk4K/8/8 w - -,32,-9605.0
8/2b1kp2/1pp1nnp1/p2p4/P1PP2P1/BP1B1P2/4NK2/8 b - -,33,0.0
8/4K3/1p1Q4/1P5r/P7/8/1k6/8 b - -,19,3392.0
r1bqkbnr/pp2pppp/8/2pp4/3n4/3Q4/PPP1PPPP/RNB1KBNR w KQkq -,22,-201.0
r1bqk2r/ppp1nppp/2nb4/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq -,26,-3.0
r1b2rk1/pp3ppp/5n2/3P2N1/1bBN4/8/PP3PPP/R2K3R b - -,29,-87.0
1r1r2k1/Q4p1p/1p2b1p1/8/8/5BN1/3q1PPP/5RK1 b - -,22,-392.0
r4rk1/1pp2pb1/p1npNqp1/8/4P3/2N1B3/PPPQ1PP1/2KR3R b - -,20,170.0
r1b2k1r/pp2ppb1/1q5p/1B1Pp1p1/4P1nB/2N5/PP3PPP/R2Q1RK1 w - -,27,59.0
6k1/1p1b1r1p/p2q2NQ/3p1p2/3Nr3/2P2R1P/PP6/6RK b - -,25,500.0
r2q1rk1/ppp2pp1/2nb1pbp/8/3PP1PP/2N5/PPP1Q3/2KR1BNR b - -,24,-60.0
8/4r3/1pb3N1/p2p1p1p/3k3P/5P2/PP3KP1/3B4 w - -,22,600.0
r1bqkb1r/ppp2ppp/2n1pn2/8/1P1P4/P4N2/1BP3PP/RN1QKB1R b KQkq -,25,-66.0
r1b1k2r/1p2bpp1/pq1ppn1p/4n3/4P2B/1NNB4/PPP1QPPP/R4R1K b kq -,25,-7.0
3r2k1/5rn1/1pp2pn1/p2p4/3P1NPp/1PP4P/P3R1K1/2B1R3 b - -,32,15.0
r4r2/1pp5/3p1b2/1P2p2n/2P1P1k1/5NP1/1B4K1/1R5R b - -,23,-24.0
5r1k/3q1pp1/7p/p3pNP1/1n2P2P/Q7/5P2/2R3K1 w - -,25,139.0
3r1rk1/ppN1bp1p/4bpp1/3N4/1nP1P3/8/PP1K1PPP/R4B1R b - -,20,-7.0
2r1qrk1/4b1pp/p1n5/1pp2p2/4nB2/P5P1/1P1N1PBP/R1QR2K1 b - -,28,-52.0
8/p3k3/1rp1p3/2p2p1p/5PrP/1P1P1K2/P1P5/1R4R1 w - -,34,0.0
8/8/1k6/1pp5/1r1PR1P1/8/6K1/8 w - -,32,9605.0
5n2/6p1/4pk2/6N1/3P2K1/8/8/8 w - -,60,0.0
r3k2r/ppq1bppp/1nn1p3/8/3P2b1/1PP2N2/2B1QPPP/RNB1R1K1 b kq -,30,-7.0
rn1qk2r/pp2npp1/4p2p/2bpPb2/5P2/P1N2N2/1P1P2PP/R1BQKB1R w KQkq -,20,-34.0
2R5/4pk1p/3p1bp1/3P2P1/4P3/4r3/4q2P/5QK1 w - -,22,-418.0
1q5r/3N1pk1/5npp/3P4/2P5/1p6/1Q3PPP/3R2K1 b - -,21,533.0
r5k1/1N3pp1/5n2/8/8/4rBP1/3R1P1K/2n5 w - -,24,-5.0
rnb1kb1r/5ppp/p3pq2/1Ppp4/3P4/2N1P3/PP3PPP/R2QKBNR w KQkq -,22,83.0
rn2kbnr/pp2pppp/2p1b3/q7/3P4/2N2N2/PPPQ1PPP/R1B1KB1R b KQkq -,21,52.0
r1bqk2r/ppp1bppp/5n2/3P4/2Bp4/5Q2/PPPP1PPP/RNB2RK1 b kq -,32,16.0
r3k2r/1pp1qpp1/2n1b2p/p1N1Pn2/2Pp4/PP3NP1/4PPBP/R2QK2R w KQkq -,21,131.0
2r2r1k/pp1b1p2/3p1N1p/8/4P3/3R4/PPP2PPP/R5K1 b - -,22,383.0
5r2/6Q1/p2p4/P2P1p2/2q1k2P/4p2B/5r2/6RK w - -,34,0.0
8/6pk/4R3/4P1p1/6Kp/8/6r1/8 w - -,28,-799.0
r5rk/4qp1p/p3pRnQ/1p5N/P1ppP3/3PnN1P/1PP3P1/R5K1 b - -,23,197.0
8/1p2n2p/2b2p1k/2K1pB2/6P1/1PR5/4r2P/8 b - -,19,-679.0
rnq1kbnr/pp2p2p/5pp1/2ppN3/5P2/4P3/PPPP2PP/RNBQ1RK1 w kq -,25,17.0
6nr/Q1p1qkp1/4b2p/1BB2p2/5P2/2N3P1/PPP5/2KR4 b - -,25,938.0
r3r1k1/p4ppp/2pR4/1b6/3B3P/8/P1p2PP1/4R1K1 w - -,24,-436.0
r1b2rk1/1p1n1ppp/p3pn2/8/1b1P4/2NqB1P1/PP1N1PBP/2RQK2R w K -,23,78.0
6k1/pp1r2bp/6p1/3b4/P2N4/2Pnp1BP/1P5K/3R1R2 b - -,20,-220.0
r2qk2r/1ppbnpb1/p1np3p/4P1pP/2B1P3/2N1BN2/PPPQ1PP1/2KR3R b kq -,24,204.0
rn1qkb1r/pp2ppp1/2p2n2/3p3p/2PP4/4PQ1P/PP3PP1/RNB1KB1R w KQkq -,23,74.0
5rk1/5pb1/p3b1p1/4p3/P2pP2P/2qP1NP1/2Q2PB1/1R4K1 w - -,25,49.0
rn2kb1r/pp2pppp/2p2n2/7b/3P1B2/P1NB1P2/1qP1N1PP/R2QK2R w KQkq -,23,478.0
r1b2knr/p4ppp/2pbp3/q2pN3/3P1B2/6Q1/PPP2PPP/RN2K2R w KQ -,25,137.0
5r1k/4np2/4p2p/2ppP3/1qp3P1/5N2/5P1P/2Q1R1K1 w - -,21,292.0
2rr2k1/3n1pqp/4p1p1/pp4P1/3P1P1Q/P1PN3R/1P5P/4R1K1 w - -,24,130.0
1Nb5/8/2P4p/p7/4k1p1/P4p2/5KPP/8 w - -,34,448.0
4r1k1/1b1q1pbp/p1n1p1p1/1pBp4/3P4/1P1BPP2/P2QN1PP/2R3K1 b - -,18,26.0
r4rk1/pbpn2pp/1p1pp2q/5p2/2PP4/P1R1PPPN/1P4BP/3QK2R w K -,20,-4.0
8/8/pppK4/8/4pk2/8/PPP2P2/8 b - -,55,0.0
r1b2r2/ppp2ppk/2n1pq2/3p3P/1b1P4/2N5/PPP2PP1/R1BQK2R w KQ -,22,-408.0
3k4/6p1/8/1B1N3p/PP5n/7P/2P2PP1/2K5 w - -,20,1151.0
2rr2k1/p3q1p1/1p1p3p/3P1p2/7P/PQ2P1P1/3R1PK1/5R2 b - -,23,-3.0
5k2/pp3ppp/2p5/3r4/1R6/8/PPP2PPP/4K3 b - -,29,5.0
5rk1/3Pp2p/1p1n2p1/rP6/P7/3B4/1bR2PPP/R5K1 w - -,26,135.0
r2q1rk1/pb2b1pp/1pn1p3/3n1p2/8/1P2PNN1/PB2BPPP/RQ3RK1 b - -,20,21.0
r1r1b3/6kp/2P1R1p1/Np1p1p2/1P6/7P/5PP1/3R2K1 b - -,21,71.0
r5k1/p4pp1/1p2p2p/2p3b1/5N2/P1N5/BPPK3P/8 w - -,26,-540.0
r1bqk2r/ppp1nppp/2np4/b2Np3/1PB1P3/P4N2/2PP1PPP/R1BQK2R b KQkq -,29,63.0
5r2/1p1nRr1k/2bQ2pp/1q6/3B1P2/1PP5/P5PP/5RK1 w - -,27,354.0
r2qk2r/pp2ppbp/2n2np1/3p4/3P1B2/2P2N1P/PPQ2PP1/RN2K2R b KQkq -,28,6.0
8/p3kpp1/4p2p/1n2P3/r1N5/7P/P4PP1/R4RK1 b - -,28,603.0
2r2rk1/pp3ppp/1q1b2n1/3p1R1B/1P6/P5P1/1B1Q3P/4R2K w - -,22,23.0
2b1k3/5p2/1pp1p1p1/1p4P1/5P2/1B1NK3/8/b7 b - -,23,-612.0
6k1/pb1q1pbp/1p3np1/2ppr3/8/P2P1QNP/BPPB1PP1/R5K1 b - -,14,-78.0
5B2/pp1k2pr/1bpP2b1/4p3/6Pp/1B5K/P7/5R2 b - -,23,-428.0
r2q1rk1/pppnbppp/4p3/2P1P3/Q1pP1P2/2NbBN2/PP4PP/2KR3R w - -,21,13.0
r1bq1rk1/pp3ppp/2nb1n2/3pp1B1/3P3P/3BPN2/PP1N1PP1/R2QK2R w KQ -,22,-25.0
rnb1k1nr/pp3p2/1bp3q1/3P3p/1P1P4/2P1P1Pp/P3N1B1/RNBQ1RK1 w kq -,21,28.0
r2q1rk1/pp2bppp/3pb3/3Nn3/8/5N2/PPPP1PPP/R1BQ1RK1 w - -,30,83.0
2r2knr/pp5p/5p2/4P3/1P1p4/P3b3/1BP3PP/1K1R1B1R b - -,21,56.0
2b5/p2r1p1k/1p3B1p/7R/8/1P6/P1P4P/1K4R1 b - -,20,901.0
r2q1rk1/5p2/p1pp1p1p/2b1p3/1p2P2B/1nPP3P/PP3PP1/R2Q1RK1 w - -,21,217.0
2r1k1r1/1p3pq1/p1b1pRp1/3nP1Np/3Q3P/1P6/P4PP1/1B2R1K1 w - -,22,391.0
8/pppr1kpp/5pn1/8/2P5/5N1P/PP3PP1/4R1K1 w - -,22,-42.0
2k5/8/4N3/1p4pp/8/1P3b2/1PPKp2P/8 b - -,40,19.0
1k2r3/1p4pp/p6n/2Rp1p2/4bPP1/R2B3P/PPP5/1K6 b - -,12,212.0
q3k2r/p1pbn1pp/8/3pQ3/8/8/PPP2PPP/RNB1K2R b KQk -,26,541.0
N7/p2kp2p/3pp1p1/8/1P2r1P1/4P3/3K3P/7R b - -,20,-20.0
rn2k2r/pb2qppp/1p3n2/3p4/2P5/B1NB1N2/5PPP/R2Q2K1 b Qkq -,24,435.0
5k2/5P2/6K1/8/6P1/5R2/8/7r b - -,20,461.0
1r4k1/2pb1ppp/p3p3/4P3/Pp6/1Pp1B1P1/4PP1P/3R2K1 b - -,21,-532.0
1r2k2r/2p2pp1/p1np1q1p/1p1Np2Q/1b2P3/3P4/P1PB1PPP/R4RK1 b - -,32,214.0
8/8/5p2/3b4/3Bn2p/2P2k1P/5P1K/8 w - -,27,-497.0
8/pp6/3k3p/3b2p1/5rP1/1P5P/P3R1P1/6K1 w - -,23,-550.0
5rk1/1q1n1pb1/p2pp1pp/7n/2rNPP2/P1N5/1P1Q1BPP/R2R3K w - -,23,-31.0
2b3k1/p4r1p/1q1p1npR/4p3/2PpPP2/6P1/P2Q2B1/2K4R b - -,21,-605.0
3r2k1/pb3pp1/1p2pn1p/2q3r1/3N4/1BP2P2/PP1R1QPP/3R2K1 b - -,20,-3.0
r1bqkb1r/ppp2ppp/3p1n2/3N4/3QP3/5P2/PPP2P1P/R1B1KBR1 b Qkq -,24,64.0
r3n1k1/1b6/pb1pR1p1/2p3rp/2P2P2/1P1P3R/PB4PP/6K1 w - -,22,182.0
3r2k1/6pp/6b1/p7/4p3/4B2P/PP3PP1/4R1K1 w - -,30,178.0
